id	gene.symbol	fpkm
ENSMUSG00000000001	Gnai3	22.1867
ENSMUSG00000000003	Pbsn	0
ENSMUSG00000000028	Cdc45	4.88055
ENSMUSG00000000031	H19	0.0633682
ENSMUSG00000000037	Scml2	0.453946
ENSMUSG00000000049	Apoh	0
ENSMUSG00000000056	Narf	2.04367
ENSMUSG00000000058	Cav2	0.0838738
ENSMUSG00000000078	Klf6	5.35866
ENSMUSG00000000085	Scmh1	0.872184
ENSMUSG00000000088	Cox5a	15.6387
ENSMUSG00000000093	Tbx2	0.0257736
ENSMUSG00000000094	Tbx4	0.101698
ENSMUSG00000000103	Zfy2	0.0269711
ENSMUSG00000000120	Ngfr	1.32287
ENSMUSG00000000125	Wnt3	0.182852
ENSMUSG00000000126	Wnt9a	0.337417
ENSMUSG00000000127	Fer	1.53673
ENSMUSG00000000131	Xpo6	27.8005
ENSMUSG00000000134	Tcfe3	6.55794
ENSMUSG00000000142	Axin2	0.865238
ENSMUSG00000000148	Baat1	3.61008
ENSMUSG00000000149	Gna12	11.6628
ENSMUSG00000000154	Slc22a18	0.598334
ENSMUSG00000000157	Itgb2l	0.0014805
ENSMUSG00000000159	Igsf5	0.0319595
ENSMUSG00000000167	Pih1d2	0.567066
ENSMUSG00000000168	Dlat	12.7102
ENSMUSG00000000171	Sdhd	38.1268
ENSMUSG00000000182	Fgf23	0.0196105
ENSMUSG00000000183	Fgf6	0
ENSMUSG00000000184	Ccnd2	0.00643003
ENSMUSG00000000194	Gpr107	6.4823
ENSMUSG00000000197	Nalcn	0.0685773
ENSMUSG00000000202	Btbd17	0.0556111
ENSMUSG00000000204	Slfn4	0.0594787
ENSMUSG00000000214	Th	0.00647693
ENSMUSG00000000215	Ins2	0
ENSMUSG00000000216	Scnn1g	0.00252879
ENSMUSG00000000223	Drp2	0.0674179
ENSMUSG00000000244	Tspan32	0.170966
ENSMUSG00000000247	Lhx2	0.0170599
ENSMUSG00000000248	Clec2g	0.0577825
ENSMUSG00000000253	Gmpr	1.26736
ENSMUSG00000000263	Glra1	0
ENSMUSG00000000266	Mid2	0.026709
ENSMUSG00000000275	Trim25	4.03836
ENSMUSG00000000276	Dgke	2.24749
ENSMUSG00000000278	Scpep1	7.18836
ENSMUSG00000000282	Mnt	1.82991
ENSMUSG00000000290	Itgb2	0.185367
ENSMUSG00000000295	Hddc2	5.9195
ENSMUSG00000000296	Tpd52l1	4.51314
ENSMUSG00000000301	Pemt	2.228
ENSMUSG00000000303	Cdh1	11.7403
ENSMUSG00000000305	Cdh4	0.437896
ENSMUSG00000000308	Ckmt1	6.38311
ENSMUSG00000000317	Bcl6b	0.222437
ENSMUSG00000000318	Clec10a	0.0165767
ENSMUSG00000000320	Alox12	0.445544
ENSMUSG00000000325	Arvcf	6.77595
ENSMUSG00000000326	Comt	4.15993
ENSMUSG00000000339	Rtcd1	3.83939
ENSMUSG00000000340	Dbt	2.76311
ENSMUSG00000000346	Dazap2	8.81455
ENSMUSG00000000355	Mcts1	5.05765
ENSMUSG00000000359	Rem1	0.0240254
ENSMUSG00000000365	Rnf17	0.847524
ENSMUSG00000000374	Trappc10	3.65272
ENSMUSG00000000378	Ccm2	6.53698
ENSMUSG00000000381	Wap	0.0333006
ENSMUSG00000000384	Tbrg4	16.2981
ENSMUSG00000000385	Tmprss2	0.0202798
ENSMUSG00000000386	Mx1	0.00282688
ENSMUSG00000000392	Fap	0
ENSMUSG00000000394	Gcg	0
ENSMUSG00000000399	Ndufa9	6.33086
ENSMUSG00000000402	Egfl6	0.0563422
ENSMUSG00000000409	Lck	10.9579
ENSMUSG00000000411	Tssk3	0.00972976
ENSMUSG00000000416	Cttnbp2	0.121155
ENSMUSG00000000420	Galnt1	5.50307
ENSMUSG00000000435	Myf5	0.0327222
ENSMUSG00000000439	Mkrn2	8.51436
ENSMUSG00000000440	Pparg	0
ENSMUSG00000000441	Raf1	18.6628
ENSMUSG00000000486	Sept1	35.4608
ENSMUSG00000000489	Pdgfb	0.504996
ENSMUSG00000000530	Acvrl1	0.512212
ENSMUSG00000000531	Grasp	5.87598
ENSMUSG00000000532	Acvr1b	4.48395
ENSMUSG00000000538	Tom1l2	2.00988
ENSMUSG00000000544	Gpa33	8.20889
ENSMUSG00000000552	Zfp385a	0.556053
ENSMUSG00000000555	Itga5	2.22268
ENSMUSG00000000560	Gabra2	0
ENSMUSG00000000561	Wdr77	28.4984
ENSMUSG00000000562	Adora3	0
ENSMUSG00000000563	Atp5f1	39.5024
ENSMUSG00000000567	Sox9	0.000896796
