id	gene.symbol	fpkm
ENSMUSG00000000001	Gnai3	22.7531
ENSMUSG00000000003	Pbsn	0
ENSMUSG00000000028	Cdc45	5.72915
ENSMUSG00000000031	H19	0.0501836
ENSMUSG00000000037	Scml2	0.755023
ENSMUSG00000000049	Apoh	0
ENSMUSG00000000056	Narf	2.89185
ENSMUSG00000000058	Cav2	0.0577596
ENSMUSG00000000078	Klf6	5.40374
ENSMUSG00000000085	Scmh1	0.892778
ENSMUSG00000000088	Cox5a	14.7104
ENSMUSG00000000093	Tbx2	0.0305232
ENSMUSG00000000094	Tbx4	0.0946342
ENSMUSG00000000103	Zfy2	0.0446728
ENSMUSG00000000120	Ngfr	1.25334
ENSMUSG00000000125	Wnt3	0.168483
ENSMUSG00000000126	Wnt9a	0.206451
ENSMUSG00000000127	Fer	1.61334
ENSMUSG00000000131	Xpo6	22.1162
ENSMUSG00000000134	Tcfe3	5.67336
ENSMUSG00000000142	Axin2	0.467715
ENSMUSG00000000148	Baat1	3.4254
ENSMUSG00000000149	Gna12	10.9438
ENSMUSG00000000154	Slc22a18	0.581387
ENSMUSG00000000157	Itgb2l	0.00175069
ENSMUSG00000000159	Igsf5	0.0733443
ENSMUSG00000000167	Pih1d2	0.755092
ENSMUSG00000000168	Dlat	14.0882
ENSMUSG00000000171	Sdhd	41.3473
ENSMUSG00000000182	Fgf23	0.00257114
ENSMUSG00000000183	Fgf6	0
ENSMUSG00000000184	Ccnd2	0.00686188
ENSMUSG00000000194	Gpr107	7.02106
ENSMUSG00000000197	Nalcn	0.0807412
ENSMUSG00000000202	Btbd17	0.0437245
ENSMUSG00000000204	Slfn4	0.0920822
ENSMUSG00000000214	Th	0.0135219
ENSMUSG00000000215	Ins2	0
ENSMUSG00000000216	Scnn1g	0
ENSMUSG00000000223	Drp2	0.097125
ENSMUSG00000000244	Tspan32	0.175758
ENSMUSG00000000247	Lhx2	0.0085158
ENSMUSG00000000248	Clec2g	0.0424463
ENSMUSG00000000253	Gmpr	1.17881
ENSMUSG00000000263	Glra1	0
ENSMUSG00000000266	Mid2	0.0510275
ENSMUSG00000000275	Trim25	4.0402
ENSMUSG00000000276	Dgke	2.18191
ENSMUSG00000000278	Scpep1	8.13154
ENSMUSG00000000282	Mnt	1.51831
ENSMUSG00000000290	Itgb2	0.148268
ENSMUSG00000000295	Hddc2	6.06469
ENSMUSG00000000296	Tpd52l1	4.46947
ENSMUSG00000000301	Pemt	1.9053
ENSMUSG00000000303	Cdh1	13.0781
ENSMUSG00000000305	Cdh4	0.365656
ENSMUSG00000000308	Ckmt1	6.3323
ENSMUSG00000000317	Bcl6b	0.257482
ENSMUSG00000000318	Clec10a	0.00818071
ENSMUSG00000000320	Alox12	0.481689
ENSMUSG00000000325	Arvcf	7.37107
ENSMUSG00000000326	Comt	3.83828
ENSMUSG00000000339	Rtcd1	4.21485
ENSMUSG00000000340	Dbt	2.54078
ENSMUSG00000000346	Dazap2	8.43575
ENSMUSG00000000355	Mcts1	5.95908
ENSMUSG00000000359	Rem1	0.0254893
ENSMUSG00000000365	Rnf17	0.956523
ENSMUSG00000000374	Trappc10	3.8648
ENSMUSG00000000378	Ccm2	6.47505
ENSMUSG00000000381	Wap	0.024825
ENSMUSG00000000384	Tbrg4	15.3283
ENSMUSG00000000385	Tmprss2	0.0465972
ENSMUSG00000000386	Mx1	0.0183885
ENSMUSG00000000392	Fap	0
ENSMUSG00000000394	Gcg	0.00712223
ENSMUSG00000000399	Ndufa9	7.84137
ENSMUSG00000000402	Egfl6	0.0416532
ENSMUSG00000000409	Lck	10.2709
ENSMUSG00000000411	Tssk3	0.0228853
ENSMUSG00000000416	Cttnbp2	0.123907
ENSMUSG00000000420	Galnt1	5.47429
ENSMUSG00000000435	Myf5	0.0088342
ENSMUSG00000000439	Mkrn2	9.19429
ENSMUSG00000000440	Pparg	0.00264346
ENSMUSG00000000441	Raf1	20.0714
ENSMUSG00000000486	Sept1	28.9252
ENSMUSG00000000489	Pdgfb	0.430114
ENSMUSG00000000530	Acvrl1	0.569141
ENSMUSG00000000531	Grasp	3.89298
ENSMUSG00000000532	Acvr1b	4.42674
ENSMUSG00000000538	Tom1l2	2.12124
ENSMUSG00000000544	Gpa33	7.66045
ENSMUSG00000000552	Zfp385a	0.428563
ENSMUSG00000000555	Itga5	2.29858
ENSMUSG00000000560	Gabra2	0.00190066
ENSMUSG00000000561	Wdr77	30.9551
ENSMUSG00000000562	Adora3	0
ENSMUSG00000000563	Atp5f1	43.3642
ENSMUSG00000000567	Sox9	0.00106251
ENSMUSG00000000568	Hnrnpd	3.33005
ENSMUSG00000000579	Dynlt1c	6.93095
ENSMUSG00000000581	C1d	6.79187
ENSMUSG00000000594	Gm2a	3.73263
ENSMUSG00000000600	Krit1	3.15235
ENSMUSG00000000605	Clcn4-2	1.60781
ENSMUSG00000000606	Vmn2r88	0
ENSMUSG00000000617	Grm6	0
ENSMUSG00000000627	Sema4f	0.0850617
ENSMUSG00000000628	Hk2	9.38127
ENSMUSG00000000631	Myo18a	4.42135
ENSMUSG00000000632	Sez6	0.109189
ENSMUSG00000000673	Haao	0.0322049
ENSMUSG00000000682	Cd52	0.230593
ENSMUSG00000000686	Abhd15	0.0846414
ENSMUSG00000000690	Hoxb6	0
ENSMUSG00000000693	Loxl3	0.259575
ENSMUSG00000000701	Tcl1b5	0
ENSMUSG00000000702	AC007307.1	0
ENSMUSG00000000706	Btn1a1	0.0746977
ENSMUSG00000000708	Kat2b	7.73022
ENSMUSG00000000711	Rab5b	12.6539
ENSMUSG00000000724	Cryba1	0.0763913
ENSMUSG00000000730	Dnmt3l	39.1526
ENSMUSG00000000731	Aire	1.65005
