id	gene.symbol	fpkm
ENSMUSG00000000001	Gnai3	0.477236
ENSMUSG00000000003	Pbsn	0
ENSMUSG00000000028	Cdc45	23.1548
ENSMUSG00000000031	H19	0
ENSMUSG00000000037	Scml2	0
ENSMUSG00000000049	Apoh	0
ENSMUSG00000000056	Narf	5.74555
ENSMUSG00000000058	Cav2	0
ENSMUSG00000000078	Klf6	21.2879
ENSMUSG00000000085	Scmh1	0
ENSMUSG00000000088	Cox5a	376.549
ENSMUSG00000000093	Tbx2	0
ENSMUSG00000000094	Tbx4	0
ENSMUSG00000000103	Zfy2	0
ENSMUSG00000000120	Ngfr	0.318844
ENSMUSG00000000125	Wnt3	0
ENSMUSG00000000126	Wnt9a	0
ENSMUSG00000000127	Fer	0.0326104
ENSMUSG00000000131	Xpo6	14.4208
ENSMUSG00000000134	Tcfe3	9.71052
ENSMUSG00000000142	Axin2	0
ENSMUSG00000000148	Baat1	0
ENSMUSG00000000149	Gna12	59.9457
ENSMUSG00000000154	Slc22a18	0
ENSMUSG00000000157	Itgb2l	0
ENSMUSG00000000159	Igsf5	0
ENSMUSG00000000167	Pih1d2	0
ENSMUSG00000000168	Dlat	5.84885
ENSMUSG00000000171	Sdhd	46.5579
ENSMUSG00000000182	Fgf23	0
ENSMUSG00000000183	Fgf6	0
ENSMUSG00000000184	Ccnd2	0
ENSMUSG00000000194	Gpr107	1.97429
ENSMUSG00000000197	Nalcn	0
ENSMUSG00000000202	Btbd17	0
ENSMUSG00000000204	Slfn4	0
ENSMUSG00000000214	Th	0
ENSMUSG00000000215	Ins2	0
ENSMUSG00000000216	Scnn1g	0
ENSMUSG00000000223	Drp2	0
ENSMUSG00000000244	Tspan32	0
ENSMUSG00000000247	Lhx2	0
ENSMUSG00000000248	Clec2g	0
ENSMUSG00000000253	Gmpr	21.7993
ENSMUSG00000000263	Glra1	0
ENSMUSG00000000266	Mid2	0
ENSMUSG00000000275	Trim25	147.625
ENSMUSG00000000276	Dgke	0.0044393
ENSMUSG00000000278	Scpep1	38.2164
ENSMUSG00000000282	Mnt	0.00817635
ENSMUSG00000000290	Itgb2	0
ENSMUSG00000000295	Hddc2	131.59
ENSMUSG00000000296	Tpd52l1	0
ENSMUSG00000000301	Pemt	0
ENSMUSG00000000303	Cdh1	4.02818
ENSMUSG00000000305	Cdh4	0
ENSMUSG00000000308	Ckmt1	5.69029
ENSMUSG00000000317	Bcl6b	0
ENSMUSG00000000318	Clec10a	0
ENSMUSG00000000320	Alox12	0
ENSMUSG00000000325	Arvcf	0
ENSMUSG00000000326	Comt	0.0347206
ENSMUSG00000000339	Rtcd1	0.0610973
ENSMUSG00000000340	Dbt	0.426056
ENSMUSG00000000346	Dazap2	73.6862
ENSMUSG00000000355	Mcts1	76.6599
ENSMUSG00000000359	Rem1	0
ENSMUSG00000000365	Rnf17	0.581353
ENSMUSG00000000374	Trappc10	0.00741537
ENSMUSG00000000378	Ccm2	7.65664
ENSMUSG00000000381	Wap	0
ENSMUSG00000000384	Tbrg4	0.144233
ENSMUSG00000000385	Tmprss2	0
ENSMUSG00000000386	Mx1	0
ENSMUSG00000000392	Fap	0
ENSMUSG00000000394	Gcg	0
ENSMUSG00000000399	Ndufa9	12.6116
ENSMUSG00000000402	Egfl6	0
ENSMUSG00000000409	Lck	1.52538
ENSMUSG00000000411	Tssk3	0
ENSMUSG00000000416	Cttnbp2	0
ENSMUSG00000000420	Galnt1	26.8375
ENSMUSG00000000435	Myf5	0
ENSMUSG00000000439	Mkrn2	0
ENSMUSG00000000440	Pparg	0
ENSMUSG00000000441	Raf1	31.5333
ENSMUSG00000000486	Sept1	644.593
ENSMUSG00000000489	Pdgfb	0.0130746
ENSMUSG00000000530	Acvrl1	0
ENSMUSG00000000531	Grasp	3.13445
ENSMUSG00000000532	Acvr1b	0
ENSMUSG00000000538	Tom1l2	0
ENSMUSG00000000544	Gpa33	50.8814
ENSMUSG00000000552	Zfp385a	0
ENSMUSG00000000555	Itga5	12.65
ENSMUSG00000000560	Gabra2	0
ENSMUSG00000000561	Wdr77	143.011
