id	gene.symbol	fpkm
ENSMUSG00000000001	Gnai3	43.8983
ENSMUSG00000000003	Pbsn	0
ENSMUSG00000000028	Cdc45	16.6061
ENSMUSG00000000031	H19	0
ENSMUSG00000000037	Scml2	0
ENSMUSG00000000049	Apoh	0
ENSMUSG00000000056	Narf	2.69101
ENSMUSG00000000058	Cav2	0
ENSMUSG00000000078	Klf6	2.81329
ENSMUSG00000000085	Scmh1	2.54712
ENSMUSG00000000088	Cox5a	155.313
ENSMUSG00000000093	Tbx2	0.00302249
ENSMUSG00000000094	Tbx4	0
ENSMUSG00000000103	Zfy2	0
ENSMUSG00000000120	Ngfr	2.93468
ENSMUSG00000000125	Wnt3	0
ENSMUSG00000000126	Wnt9a	0
ENSMUSG00000000127	Fer	3.12506
ENSMUSG00000000131	Xpo6	71.5513
ENSMUSG00000000134	Tcfe3	8.59486
ENSMUSG00000000142	Axin2	0.909789
ENSMUSG00000000148	Baat1	1.02517
ENSMUSG00000000149	Gna12	12.4342
ENSMUSG00000000154	Slc22a18	1.85696
ENSMUSG00000000157	Itgb2l	0
ENSMUSG00000000159	Igsf5	0
ENSMUSG00000000167	Pih1d2	0.83324
ENSMUSG00000000168	Dlat	23.0095
ENSMUSG00000000171	Sdhd	77.7846
ENSMUSG00000000182	Fgf23	0
ENSMUSG00000000183	Fgf6	0
ENSMUSG00000000184	Ccnd2	0.377569
ENSMUSG00000000194	Gpr107	5.5579
ENSMUSG00000000197	Nalcn	0.237606
ENSMUSG00000000202	Btbd17	0
ENSMUSG00000000204	Slfn4	0
ENSMUSG00000000214	Th	0.686026
ENSMUSG00000000215	Ins2	0
ENSMUSG00000000216	Scnn1g	0
ENSMUSG00000000223	Drp2	0.00789218
ENSMUSG00000000244	Tspan32	0.256931
ENSMUSG00000000247	Lhx2	0
ENSMUSG00000000248	Clec2g	0
ENSMUSG00000000253	Gmpr	3.0351
ENSMUSG00000000263	Glra1	0
ENSMUSG00000000266	Mid2	0.0219223
ENSMUSG00000000275	Trim25	29.2878
ENSMUSG00000000276	Dgke	1.00536
ENSMUSG00000000278	Scpep1	46.5541
ENSMUSG00000000282	Mnt	3.79853
ENSMUSG00000000290	Itgb2	0
ENSMUSG00000000295	Hddc2	13.504
ENSMUSG00000000296	Tpd52l1	17.1991
ENSMUSG00000000301	Pemt	6.31968
ENSMUSG00000000303	Cdh1	5.8814
ENSMUSG00000000305	Cdh4	0.0320937
ENSMUSG00000000308	Ckmt1	2.9926
ENSMUSG00000000317	Bcl6b	0.45385
ENSMUSG00000000318	Clec10a	0
ENSMUSG00000000320	Alox12	1.83881
ENSMUSG00000000325	Arvcf	2.34852
ENSMUSG00000000326	Comt	10.8581
ENSMUSG00000000339	Rtcd1	20.7198
ENSMUSG00000000340	Dbt	3.30052
ENSMUSG00000000346	Dazap2	29.2482
ENSMUSG00000000355	Mcts1	6.23109
ENSMUSG00000000359	Rem1	0
ENSMUSG00000000365	Rnf17	2.13193
ENSMUSG00000000374	Trappc10	0.33311
ENSMUSG00000000378	Ccm2	12.1214
ENSMUSG00000000381	Wap	0
ENSMUSG00000000384	Tbrg4	18.8416
ENSMUSG00000000385	Tmprss2	0
ENSMUSG00000000386	Mx1	0
ENSMUSG00000000392	Fap	0
ENSMUSG00000000394	Gcg	0
ENSMUSG00000000399	Ndufa9	35.7001
ENSMUSG00000000402	Egfl6	0.205193
ENSMUSG00000000409	Lck	4.65047
ENSMUSG00000000411	Tssk3	0
ENSMUSG00000000416	Cttnbp2	0.193871
ENSMUSG00000000420	Galnt1	6.29472
ENSMUSG00000000435	Myf5	0
ENSMUSG00000000439	Mkrn2	3.63406
ENSMUSG00000000440	Pparg	0
ENSMUSG00000000441	Raf1	29.3432
ENSMUSG00000000486	Sept1	261.652
ENSMUSG00000000489	Pdgfb	0.485018
ENSMUSG00000000530	Acvrl1	1.06727
ENSMUSG00000000531	Grasp	1.44111
ENSMUSG00000000532	Acvr1b	0.916558
ENSMUSG00000000538	Tom1l2	1.21228
ENSMUSG00000000544	Gpa33	31.5676
ENSMUSG00000000552	Zfp385a	1.84243
ENSMUSG00000000555	Itga5	7.17566
ENSMUSG00000000560	Gabra2	0
ENSMUSG00000000561	Wdr77	77.8745
ENSMUSG00000000562	Adora3	0
ENSMUSG00000000563	Atp5f1	196.375
ENSMUSG00000000567	Sox9	0
ENSMUSG00000000568	Hnrnpd	98.3848
ENSMUSG00000000579	Dynlt1c	9.72946
ENSMUSG00000000581	C1d	12.3948
ENSMUSG00000000594	Gm2a	10.0324
ENSMUSG00000000600	Krit1	5.1203
ENSMUSG00000000605	Clcn4-2	0.560743
ENSMUSG00000000606	Vmn2r88	0
ENSMUSG00000000617	Grm6	0
ENSMUSG00000000627	Sema4f	0
ENSMUSG00000000628	Hk2	73.0896
ENSMUSG00000000631	Myo18a	4.89739
ENSMUSG00000000632	Sez6	0
ENSMUSG00000000673	Haao	0
ENSMUSG00000000682	Cd52	0
ENSMUSG00000000686	Abhd15	0.0542341
ENSMUSG00000000690	Hoxb6	0
ENSMUSG00000000693	Loxl3	0.00388919
ENSMUSG00000000701	Tcl1b5	0
ENSMUSG00000000702	AC007307.1	0
ENSMUSG00000000706	Btn1a1	0
ENSMUSG00000000708	Kat2b	12.5868
ENSMUSG00000000711	Rab5b	3.44518
ENSMUSG00000000724	Cryba1	0
ENSMUSG00000000730	Dnmt3l	44.1243
ENSMUSG00000000731	Aire	4.70727
ENSMUSG00000000732	Icosl	0.776379
ENSMUSG00000000738	Spg7	17.3339
ENSMUSG00000000739	Sult5a1	2.23156
ENSMUSG00000000740	Rpl13	295.076
ENSMUSG00000000743	Chmp1a	17.5438
ENSMUSG00000000751	Rpa1	26.1007
ENSMUSG00000000753	Serpinf1	0
ENSMUSG00000000759	Tubgcp3	8.5307
ENSMUSG00000000766	Oprm1	0
ENSMUSG00000000776	Polr3d	5.32082
ENSMUSG00000000782	Tcf7	7.07588
ENSMUSG00000000787	Ddx3x	75.5057
ENSMUSG00000000791	Il12rb1	0
ENSMUSG00000000792	Slc5a5	0.0528594
ENSMUSG00000000794	Kcnn3	0
ENSMUSG00000000804	Usp32	2.98444
ENSMUSG00000000805	Car4	0.405295
ENSMUSG00000000811	Txnrd3	4.0838
ENSMUSG00000000817	Fasl	0
ENSMUSG00000000823	Znf512b	3.4342
ENSMUSG00000000826	Dnajc5	3.26907
ENSMUSG00000000827	Tpd52l2	45.4113
ENSMUSG00000000838	Fmr1	24.0742
ENSMUSG00000000861	Bcl11a	0.759104
ENSMUSG00000000869	Il4	0
ENSMUSG00000000876	Pxmp4	2.12943
ENSMUSG00000000881	Dlg3	4.04589
ENSMUSG00000000884	Gnb1l	2.60082
ENSMUSG00000000889	Dbh	0
ENSMUSG00000000901	Mmp11	12.4918
ENSMUSG00000000902	Smarcb1	26.2274
ENSMUSG00000000903	Vpreb3	1.28127
ENSMUSG00000000915	Hip1r	0.876112
ENSMUSG00000000916	Nsun5	17.7891
ENSMUSG00000000934	Top1mt	3.09646
ENSMUSG00000000938	Hoxa10	0
ENSMUSG00000000942	Hoxa4	0
ENSMUSG00000000948	Snrpn	43.846
ENSMUSG00000000957	Mmp14	1.23739
ENSMUSG00000000958	Slc7a7	22.7374
ENSMUSG00000000959	Oxa1l	62.9122
ENSMUSG00000000976	Heatr6	1.21543
ENSMUSG00000000982	Ccl3	0
ENSMUSG00000000983	Expi	0
ENSMUSG00000001014	Icam4	0
ENSMUSG00000001016	Ilf2	67.0281
ENSMUSG00000001017	2500003M10Rik	33.0277
ENSMUSG00000001018	Snapin	9.87881
ENSMUSG00000001020	S100a4	0
ENSMUSG00000001021	S100a3	0
ENSMUSG00000001023	S100a5	0
ENSMUSG00000001025	S100a6	16.9347
ENSMUSG00000001027	Scn4a	0
ENSMUSG00000001029	Icam2	0
ENSMUSG00000001034	Mapk7	2.88386
ENSMUSG00000001036	Epn2	4.21991
ENSMUSG00000001039	B9d1	20.3219
ENSMUSG00000001052	Sec24b	11.036
ENSMUSG00000001053	N4bp3	13.2162
ENSMUSG00000001054	Rmnd5b	59.2222
ENSMUSG00000001056	Nhp2	112.959
ENSMUSG00000001062	1300018I17Rik	1.25573
ENSMUSG00000001065	Zfp276	0.971363
ENSMUSG00000001076	C1ql4	0.594598
ENSMUSG00000001082	Mfsd10	52.7106
ENSMUSG00000001089	Luzp1	6.38139
ENSMUSG00000001095	Slc13a2	0
ENSMUSG00000001098	Kctd10	4.03811
ENSMUSG00000001100	Poldip2	34.7148
ENSMUSG00000001103	Sebox	0
ENSMUSG00000001105	Ift20	9.17265
ENSMUSG00000001119	Col6a1	0.00274739
ENSMUSG00000001120	Pcbp3	1.68176
ENSMUSG00000001123	Lgals9	3.25026
ENSMUSG00000001127	Araf	18.4683
ENSMUSG00000001128	Cfp	6.35655
ENSMUSG00000001131	Timp1	21.692
ENSMUSG00000001134	Uxt	2.39753
ENSMUSG00000001138	Cnnm3	0.457181
ENSMUSG00000001143	Lman2l	3.55419
ENSMUSG00000001150	Mcm3ap	4.88969
ENSMUSG00000001151	Pcnt	4.01332
ENSMUSG00000001155	Ftcd	0
ENSMUSG00000001156	Mxd1	0.764902
ENSMUSG00000001157	Gmcl1	7.79753
ENSMUSG00000001158	Snrnp27	5.87175
ENSMUSG00000001166	Oas1c	1.45359
ENSMUSG00000001168	Oas1h	0
ENSMUSG00000001173	Ocrl	4.91076
ENSMUSG00000001175	Calm1	149.749
ENSMUSG00000001211	Agpat3	1.99032
ENSMUSG00000001225	Slc26a3	0
ENSMUSG00000001227	Sema6b	0.0703285
ENSMUSG00000001228	Uhrf1	15.3402
ENSMUSG00000001229	Dpp9	5.9195
ENSMUSG00000001240	Ramp2	5.33088
ENSMUSG00000001247	Lsr	5.29885
ENSMUSG00000001248	Gramd1a	3.05178
ENSMUSG00000001249	Hpn	4.0182
ENSMUSG00000001260	Gabrg1	0
ENSMUSG00000001270	Ckb	72.6589
ENSMUSG00000001280	Sp1	9.48793
ENSMUSG00000001281	Itgb7	9.70784
ENSMUSG00000001285	Myg1	68.0851
ENSMUSG00000001288	Rarg	9.33935
ENSMUSG00000001289	Pfdn5	36.0367
ENSMUSG00000001300	Efnb2	0.0189077
ENSMUSG00000001305	Rrp15	50.3931
ENSMUSG00000001313	Rnd2	8.09542
ENSMUSG00000001323	Srr	0.00983628
ENSMUSG00000001333	Sync	0
ENSMUSG00000001334	Fndc5	0.16048
ENSMUSG00000001348	Acp5	4.50899
ENSMUSG00000001349	Cnn1	0
ENSMUSG00000001366	Fbxo9	5.13679
ENSMUSG00000001376	Ccdc132	14.9614
ENSMUSG00000001379	Apbb3	2.00138
ENSMUSG00000001380	Hars	30.8838
ENSMUSG00000001383	Zmat2	5.25306
ENSMUSG00000001403	Ube2c	54.2618
ENSMUSG00000001415	Smg5	3.41262
ENSMUSG00000001416	Cct3	554.67
ENSMUSG00000001417	Rhbg	0.334049
ENSMUSG00000001418	0610031J06Rik	37.9982
ENSMUSG00000001419	Mef2d	1.23094
ENSMUSG00000001420	Tmem79	5.77023
ENSMUSG00000001424	Snd1	5.64246
ENSMUSG00000001435	Col18a1	22.7926
ENSMUSG00000001436	Slc19a1	3.43584
ENSMUSG00000001440	Kpnb1	51.9929
ENSMUSG00000001441	Npepps	23.415
ENSMUSG00000001444	Tbx21	0
ENSMUSG00000001445	Mrpl10	28.3554
ENSMUSG00000001467	Cyp51	14.7487
ENSMUSG00000001472	Tcf25	12.964
ENSMUSG00000001473	Tubb6	15.7206
ENSMUSG00000001482	Def8	4.20596
ENSMUSG00000001493	Meox1	0.3135
ENSMUSG00000001494	Sost	0
ENSMUSG00000001496	Nkx2-1	0
ENSMUSG00000001497	Pax9	0
ENSMUSG00000001504	Irx2	1.23633
ENSMUSG00000001506	Col1a1	0.16919
ENSMUSG00000001507	Itga3	2.14504
ENSMUSG00000001508	Sgca	0
ENSMUSG00000001510	Dlx3	0
ENSMUSG00000001517	Foxm1	2.05969
ENSMUSG00000001518	Itfg2	6.39409
ENSMUSG00000001520	Nrip2	0
ENSMUSG00000001521	Tulp3	7.19728
ENSMUSG00000001524	Gtf2h4	36.6385
ENSMUSG00000001525	Tubb5	522.045
ENSMUSG00000001542	Ell2	7.63582
ENSMUSG00000001552	Jup	44.4382
ENSMUSG00000001555	Fkbp10	3.29566
ENSMUSG00000001558	Klhl10	9.03003
ENSMUSG00000001566	Mnx1	0
ENSMUSG00000001569	Nom1	3.90825
ENSMUSG00000001576	Ergic1	6.72373
ENSMUSG00000001583	Tnk1	1.10196
ENSMUSG00000001588	Acap1	1.66251
ENSMUSG00000001604	Tcea3	23.9078
ENSMUSG00000001622	Csn3	0
ENSMUSG00000001627	Ifrd1	85.6056
ENSMUSG00000001630	Stk38l	4.56933
ENSMUSG00000001632	Brpf1	1.66363
ENSMUSG00000001642	Akr1b3	82.5712
ENSMUSG00000001655	Hoxc13	0.174273
ENSMUSG00000001656	Hoxc11	0
ENSMUSG00000001657	Hoxc8	0
ENSMUSG00000001661	Hoxc6	0
ENSMUSG00000001663	Gstt1	1.18586
ENSMUSG00000001665	Gstt3	1.6168
ENSMUSG00000001666	Ddt	60.0677
ENSMUSG00000001670	Tat	0
ENSMUSG00000001672	Marveld3	0.127637
ENSMUSG00000001674	Ddx18	47.3252
ENSMUSG00000001687	Ubl3	25.0818
ENSMUSG00000001700	Gramd3	0.725528
ENSMUSG00000001707	Eef1e1	62.1437
ENSMUSG00000001729	Akt1	8.07819
ENSMUSG00000001739	Cldn15	0
ENSMUSG00000001741	Il16	0
ENSMUSG00000001750	Tcirg1	1.1031
ENSMUSG00000001751	Naglu	0.382514
ENSMUSG00000001755	Coasy	5.39463
ENSMUSG00000001761	Smo	5.15029
ENSMUSG00000001763	Tspan33	0.311547
ENSMUSG00000001767	Crnkl1	17.4817
ENSMUSG00000001768	Rin2	1.17612
ENSMUSG00000001773	Folh1	0
ENSMUSG00000001774	Chordc1	27.004
ENSMUSG00000001783	D10Wsu52e	34.9973
ENSMUSG00000001785	Pwp1	25.9222
ENSMUSG00000001786	Fbxo7	8.96443
ENSMUSG00000001794	Capns1	227.759
ENSMUSG00000001802	Lrp3	1.61171
ENSMUSG00000001804	Dsg4	0
ENSMUSG00000001815	Evx2	0
ENSMUSG00000001819	Hoxd13	0.00448881
ENSMUSG00000001823	Hoxd12	0
ENSMUSG00000001827	Folr1	37.4426
ENSMUSG00000001829	Clpb	10.3284
ENSMUSG00000001833	Sept7	61.9444
ENSMUSG00000001844	Zdhhc4	14.176
ENSMUSG00000001847	Rac1	112.314
ENSMUSG00000001855	Nup214	19.5733
ENSMUSG00000001864	Aif1l	0.557642
ENSMUSG00000001865	Cpa3	0
ENSMUSG00000001870	Ltbp1	1.46481
ENSMUSG00000001891	Ugp2	12.6282
ENSMUSG00000001901	Kcnh6	0
ENSMUSG00000001909	Trmt1	38.366
ENSMUSG00000001910	Nacc1	14.9195
ENSMUSG00000001911	Nfix	0.0158171
ENSMUSG00000001918	Slc1a5	15.8586
ENSMUSG00000001924	Uba1	156.704
ENSMUSG00000001930	Vwf	1.50445
ENSMUSG00000001942	Siae	1.05885
ENSMUSG00000001943	Vsig2	1.27012
ENSMUSG00000001946	Esam	0
ENSMUSG00000001948	Spa17	0.634503
ENSMUSG00000001962	Fam50a	14.8529
ENSMUSG00000001964	Emd	11.114
ENSMUSG00000001983	Taco1	0.47994
ENSMUSG00000001985	Grik3	1.06473
ENSMUSG00000001986	Gria3	0
ENSMUSG00000001988	Npas1	0
ENSMUSG00000001995	Sipa1l2	0.442935
ENSMUSG00000001998	Ap4e1	0.853951
ENSMUSG00000001999	Blvra	1.16709
ENSMUSG00000002006	Pdzd4	2.28897
ENSMUSG00000002007	Srpk3	0
ENSMUSG00000002010	Idh3g	243.963
ENSMUSG00000002012	Pnck	1.19314
ENSMUSG00000002014	Ssr4	65.6205
ENSMUSG00000002015	Bcap31	79.5001
ENSMUSG00000002017	Fam98a	4.15163
ENSMUSG00000002020	Ltbp2	0
ENSMUSG00000002028	Mll1	1.22277
ENSMUSG00000002031	Ift46	61.4393
ENSMUSG00000002032	Tmem25	0.381219
ENSMUSG00000002033	Cd3g	0
ENSMUSG00000002043	Trappc6a	16.2977
ENSMUSG00000002052	Supt6h	9.98155
ENSMUSG00000002055	Spag5	3.20365
ENSMUSG00000002057	Foxn1	0
ENSMUSG00000002058	Unc119	20.2745
ENSMUSG00000002059	Rab34	23.2668
ENSMUSG00000002064	Sdf2	26.1939
ENSMUSG00000002068	Ccne1	80.9178
ENSMUSG00000002076	Hsf2bp	42.2926
ENSMUSG00000002083	Bbc3	5.22373
ENSMUSG00000002100	Mybpc3	0.013102
ENSMUSG00000002102	Psmc3	138.645
ENSMUSG00000002103	Acp2	2.29627
ENSMUSG00000002104	Rapsn	0.35971
ENSMUSG00000002105	Slc39a13	2.47204
ENSMUSG00000002107	Celf2	0.553777
ENSMUSG00000002108	Nr1h3	0.376476
ENSMUSG00000002109	Ddb2	3.7562
ENSMUSG00000002111	Sfpi1	0.855312
ENSMUSG00000002129	Sf3a1	11.7562
ENSMUSG00000002147	Stat6	24.7316
ENSMUSG00000002190	Clgn	7.93649
ENSMUSG00000002204	Napsa	4.16589
ENSMUSG00000002205	Vrk3	15.5045
ENSMUSG00000002210	1500002O20Rik	4.06865
ENSMUSG00000002221	Paxip1	2.59185
ENSMUSG00000002222	Rmnd5a	6.6461
ENSMUSG00000002227	Mov10	24.7147
ENSMUSG00000002228	Ppm1j	7.37105
ENSMUSG00000002233	Rhoc	22.543
ENSMUSG00000002240	4930432K09Rik	0
ENSMUSG00000002249	Tead3	0.305938
ENSMUSG00000002250	Ppard	1.7552
ENSMUSG00000002257	Def6	14.1832
ENSMUSG00000002265	Peg3	2.39364
ENSMUSG00000002266	Zim1	0
ENSMUSG00000002274	Metrn	1.79138
ENSMUSG00000002279	Lmf1	4.98065
ENSMUSG00000002280	Narfl	14.6297
ENSMUSG00000002289	Angptl4	2.27889
ENSMUSG00000002290	Rab11b-ps2	17.6855
ENSMUSG00000002297	Dbf4	65.8381
ENSMUSG00000002307	Daxx	13.1402
ENSMUSG00000002308	Cd320	14.0874
ENSMUSG00000002319	Ipo4	64.7766
ENSMUSG00000002320	Tm9sf1	10.9971
ENSMUSG00000002324	Rec8	2.50895
ENSMUSG00000002325	Irf9	2.0177
ENSMUSG00000002326	Gmpr2	5.34502
ENSMUSG00000002329	Mdp1	6.32164
ENSMUSG00000002332	Dhrs1	30.2133
ENSMUSG00000002341	Ncan	0.0089777
ENSMUSG00000002342	Tmem161a	2.01239
ENSMUSG00000002343	Armc6	3.45395
ENSMUSG00000002345	2310045N01Rik	16.3719
ENSMUSG00000002346	Slc25a42	0.364802
ENSMUSG00000002365	Snx9	3.07057
ENSMUSG00000002372	Ranbp3	22.109
ENSMUSG00000002379	Ndufa11	8.37621
ENSMUSG00000002384	Bmp8b	0.0169183
ENSMUSG00000002393	Nr2f6	10.8033
ENSMUSG00000002395	Use1	77.9199
ENSMUSG00000002396	Ocel1	3.15397
ENSMUSG00000002409	Dyrk1b	0.630699
ENSMUSG00000002413	Braf	1.39297
ENSMUSG00000002416	Ndufb2	7.37648
ENSMUSG00000002428	Hltf	10.2111
ENSMUSG00000002455	Prpf6	11.7246
ENSMUSG00000002458	Rgs19	13.6303
ENSMUSG00000002459	Rgs20	0.0384333
ENSMUSG00000002475	Abhd3	2.54466
ENSMUSG00000002477	Snrpd1	41.8917
ENSMUSG00000002486	Tchp	1.24311
ENSMUSG00000002489	Tiam1	1.65107
ENSMUSG00000002496	Tsc2	6.97466
ENSMUSG00000002500	Rpl3l	0.577625
ENSMUSG00000002504	Slc9a3r2	6.48419
ENSMUSG00000002524	Puf60	78.2761
ENSMUSG00000002546	Golga2	0.895233
ENSMUSG00000002550	Uck1	5.47901
ENSMUSG00000002565	Scin	0.165644
ENSMUSG00000002578	Ikzf4	0.0463201
ENSMUSG00000002580	1810046J19Rik	10.1488
ENSMUSG00000002588	Pon1	0
ENSMUSG00000002602	Axl	0.141968
ENSMUSG00000002603	Tgfb1	2.91627
ENSMUSG00000002608	Ccdc97	4.21934
ENSMUSG00000002617	Zfp40	0.060801
ENSMUSG00000002625	Akap8l	11.7593
ENSMUSG00000002633	Shh	0
ENSMUSG00000002635	Pdcd2l	39.7754
ENSMUSG00000002658	Gtf2f1	34.7483
ENSMUSG00000002660	Clpp	50.165
ENSMUSG00000002661	Alkbh7	20.0894
ENSMUSG00000002664	Pspn	0
ENSMUSG00000002668	Dennd1c	0.362391
ENSMUSG00000002679	Med6	9.82929
ENSMUSG00000002688	Prkd1	0.231732
ENSMUSG00000002699	Lcp2	0
ENSMUSG00000002718	Cse1l	83.4814
ENSMUSG00000002728	Naa20	29.0497
ENSMUSG00000002731	Prkra	6.77063
ENSMUSG00000002732	Fkbp7	0.0144275
ENSMUSG00000002733	Plekha3	7.27597
ENSMUSG00000002741	Ykt6	3.757
ENSMUSG00000002748	Baz1b	5.50137
ENSMUSG00000002763	Pex6	5.05209
ENSMUSG00000002767	Mrpl2	122.662
ENSMUSG00000002768	Mea1	29.0896
ENSMUSG00000002769	Gnmt	0.430937
ENSMUSG00000002771	Grin2d	0.175464
ENSMUSG00000002778	Kdelr1	23.6195
ENSMUSG00000002781	Tmem143	0.900122
ENSMUSG00000002791	Pdxk-ps	0
ENSMUSG00000002797	Ggct	6.34358
ENSMUSG00000002799	Jag2	0.196594
ENSMUSG00000002803	Btbd6	4.13303
ENSMUSG00000002804	Nudt14	11.5121
ENSMUSG00000002808	Epdr1	1.15166
ENSMUSG00000002812	Flii	21.7706
ENSMUSG00000002814	Top3a	2.01368
ENSMUSG00000002820	Atg4d	11.1073
ENSMUSG00000002825	Qtrt1	46.0815
ENSMUSG00000002831	Plin4	0
ENSMUSG00000002833	Hdgfrp2	19.3795
ENSMUSG00000002835	Chaf1a	10.9626
ENSMUSG00000002844	Adprh	57.4247
ENSMUSG00000002845	Tmem39a	90.8853
ENSMUSG00000002846	4930455C21Rik	5.91675
ENSMUSG00000002847	Pla1a	1.74827
ENSMUSG00000002870	Mcm2	51.7957
ENSMUSG00000002871	Tpra1	9.42662
ENSMUSG00000002881	Nab1	0.986443
ENSMUSG00000002885	Cd97	29.379
ENSMUSG00000002897	Il17ra	0.53938
ENSMUSG00000002900	Lamb1	10.1073
ENSMUSG00000002908	Kcnn1	0.62162
ENSMUSG00000002910	Arrdc2	2.98409
ENSMUSG00000002930	Gsbs	0
ENSMUSG00000002944	Cd36	0
ENSMUSG00000002948	Map2k7	2.60094
ENSMUSG00000002949	Timm44	33.2688
ENSMUSG00000002957	Ap2a2	12.4848
ENSMUSG00000002963	Pnkp	18.9901
ENSMUSG00000002968	Med25	14.8343
ENSMUSG00000002980	Bcam	47.8519
ENSMUSG00000002981	Clptm1	22.4169
ENSMUSG00000002983	Relb	0.831557
ENSMUSG00000002984	Tomm40	103.403
ENSMUSG00000002985	Apoe	291.269
ENSMUSG00000002992	Apoc2	0
ENSMUSG00000002996	Hbp1	36.2997
ENSMUSG00000002997	Prkar2b	2.34658
ENSMUSG00000003031	Cdkn1b	1.35812
ENSMUSG00000003032	Klf4	20.1339
ENSMUSG00000003033	Ap1m1	26.766
ENSMUSG00000003037	Rab8a	5.06662
ENSMUSG00000003038	Hmgn2	27.1903
ENSMUSG00000003039	Fam32a	38.4529
ENSMUSG00000003051	Elf3	12.9075
ENSMUSG00000003053	Cyp2c29	0.189433
ENSMUSG00000003062	Stard3nl	58.1835
ENSMUSG00000003068	Stk11	49.2148
ENSMUSG00000003070	Efna2	1.09767
ENSMUSG00000003072	Atp5d	136.539
ENSMUSG00000003099	Ppp5c	42.7498
ENSMUSG00000003119	Cdk12	3.3879
ENSMUSG00000003123	Lipe	0.581263
ENSMUSG00000003131	Pafah1b2	7.3778
ENSMUSG00000003134	Tbc1d8	0.756442
ENSMUSG00000003135	D1Bwg0212e	10.4145
ENSMUSG00000003153	Slc2a3	111.267
ENSMUSG00000003154	Foxj2	0.00615344
ENSMUSG00000003161	Sri	12.9668
ENSMUSG00000003166	Dgcr2	7.60024
ENSMUSG00000003178	Mical3	0.806748
ENSMUSG00000003184	Irf3	10.2524
ENSMUSG00000003190	Bcl2l12	11.0055
ENSMUSG00000003198	Zfp959	0.0425006
ENSMUSG00000003199	Mpnd	32.1758
ENSMUSG00000003200	Sh3gl1	24.8089
ENSMUSG00000003206	Ebi3	0.425858
ENSMUSG00000003208	Ccdc94	5.17162
ENSMUSG00000003226	Ranbp2	5.97105
ENSMUSG00000003227	Edar	0
ENSMUSG00000003228	Grk5	0.281971
ENSMUSG00000003233	Dvl3	0.342549
ENSMUSG00000003234	Abcf3	9.89902
ENSMUSG00000003235	Eif2b5	48.8556
ENSMUSG00000003269	Cyth2	27.1189
ENSMUSG00000003271	Sult2b1	0.70437
ENSMUSG00000003273	Car11	2.15753
ENSMUSG00000003279	Dlgap1	0.497334
ENSMUSG00000003282	Plag1	0
ENSMUSG00000003283	Hck	6.65752
ENSMUSG00000003299	Mrpl4	40.1056
ENSMUSG00000003308	Keap1	0.725939
ENSMUSG00000003309	Ap1m2	7.59069
ENSMUSG00000003316	Glg1	8.91789
ENSMUSG00000003341	Atp8b3	0.0469045
ENSMUSG00000003344	Btbd2	10.6079
ENSMUSG00000003345	Csnk1g2	35.8499
ENSMUSG00000003346	Fam108a	59.2953
ENSMUSG00000003348	Mobkl2a	0.923508
ENSMUSG00000003352	Cacnb3	2.19165
ENSMUSG00000003354	Ccdc65	0.53834
ENSMUSG00000003355	Fkbp11	8.1678
ENSMUSG00000003360	Ddx23	0.0103683
