id	gene.symbol	fpkm
ENSMUSG00000000001	Gnai3	59.0587
ENSMUSG00000000003	Pbsn	0
ENSMUSG00000000028	Cdc45	18.3564
ENSMUSG00000000031	H19	0
ENSMUSG00000000037	Scml2	0.640821
ENSMUSG00000000049	Apoh	0
ENSMUSG00000000056	Narf	3.61946
ENSMUSG00000000058	Cav2	0
ENSMUSG00000000078	Klf6	2.20496
ENSMUSG00000000085	Scmh1	9.99139
ENSMUSG00000000088	Cox5a	141.798
ENSMUSG00000000093	Tbx2	0
ENSMUSG00000000094	Tbx4	0.968181
ENSMUSG00000000103	Zfy2	0
ENSMUSG00000000120	Ngfr	0.0997209
ENSMUSG00000000125	Wnt3	0.829765
ENSMUSG00000000126	Wnt9a	0
ENSMUSG00000000127	Fer	4.39062
ENSMUSG00000000131	Xpo6	69.4795
ENSMUSG00000000134	Tcfe3	11.7042
ENSMUSG00000000142	Axin2	0.770635
ENSMUSG00000000148	Baat1	5.21295
ENSMUSG00000000149	Gna12	15.7092
ENSMUSG00000000154	Slc22a18	0.97948
ENSMUSG00000000157	Itgb2l	0
ENSMUSG00000000159	Igsf5	0
ENSMUSG00000000167	Pih1d2	1.91793
ENSMUSG00000000168	Dlat	28.1471
ENSMUSG00000000171	Sdhd	59.498
ENSMUSG00000000182	Fgf23	0
ENSMUSG00000000183	Fgf6	0
ENSMUSG00000000184	Ccnd2	0.00212027
ENSMUSG00000000194	Gpr107	4.2354
ENSMUSG00000000197	Nalcn	0
ENSMUSG00000000202	Btbd17	0
ENSMUSG00000000204	Slfn4	0
ENSMUSG00000000214	Th	0
ENSMUSG00000000215	Ins2	0
ENSMUSG00000000216	Scnn1g	0
ENSMUSG00000000223	Drp2	0
ENSMUSG00000000244	Tspan32	1.17439
ENSMUSG00000000247	Lhx2	0
ENSMUSG00000000248	Clec2g	0
ENSMUSG00000000253	Gmpr	0.54072
ENSMUSG00000000263	Glra1	0
ENSMUSG00000000266	Mid2	1.61891
ENSMUSG00000000275	Trim25	14.0522
ENSMUSG00000000276	Dgke	0.0232569
ENSMUSG00000000278	Scpep1	27.1304
ENSMUSG00000000282	Mnt	2.44698
ENSMUSG00000000290	Itgb2	0
ENSMUSG00000000295	Hddc2	25.0836
ENSMUSG00000000296	Tpd52l1	8.74836
ENSMUSG00000000301	Pemt	0
ENSMUSG00000000303	Cdh1	14.8694
ENSMUSG00000000305	Cdh4	0
ENSMUSG00000000308	Ckmt1	0.0595211
ENSMUSG00000000317	Bcl6b	0
ENSMUSG00000000318	Clec10a	0
ENSMUSG00000000320	Alox12	0.00566532
ENSMUSG00000000325	Arvcf	11.9397
ENSMUSG00000000326	Comt	12.9937
ENSMUSG00000000339	Rtcd1	16.9874
ENSMUSG00000000340	Dbt	4.06956
ENSMUSG00000000346	Dazap2	27.1342
ENSMUSG00000000355	Mcts1	12.2334
ENSMUSG00000000359	Rem1	0
ENSMUSG00000000365	Rnf17	9.85048
ENSMUSG00000000374	Trappc10	0.811776
ENSMUSG00000000378	Ccm2	27.0989
ENSMUSG00000000381	Wap	0
ENSMUSG00000000384	Tbrg4	5.94613
ENSMUSG00000000385	Tmprss2	0
ENSMUSG00000000386	Mx1	0
ENSMUSG00000000392	Fap	0
ENSMUSG00000000394	Gcg	0
ENSMUSG00000000399	Ndufa9	17.3636
ENSMUSG00000000402	Egfl6	0.0045875
ENSMUSG00000000409	Lck	9.48048
ENSMUSG00000000411	Tssk3	0
ENSMUSG00000000416	Cttnbp2	0.274067
ENSMUSG00000000420	Galnt1	6.63192
ENSMUSG00000000435	Myf5	0
ENSMUSG00000000439	Mkrn2	7.77781
ENSMUSG00000000440	Pparg	0
ENSMUSG00000000441	Raf1	49.338
ENSMUSG00000000486	Sept1	73.6515
ENSMUSG00000000489	Pdgfb	2.2025
ENSMUSG00000000530	Acvrl1	0.00699612
ENSMUSG00000000531	Grasp	1.45455
ENSMUSG00000000532	Acvr1b	1.44851
ENSMUSG00000000538	Tom1l2	3.92602
ENSMUSG00000000544	Gpa33	15.7388
ENSMUSG00000000552	Zfp385a	0.480799
ENSMUSG00000000555	Itga5	6.30995
ENSMUSG00000000560	Gabra2	0
ENSMUSG00000000561	Wdr77	58.3955
ENSMUSG00000000562	Adora3	0
ENSMUSG00000000563	Atp5f1	105.428
ENSMUSG00000000567	Sox9	0
ENSMUSG00000000568	Hnrnpd	145.745
ENSMUSG00000000579	Dynlt1c	9.07456
ENSMUSG00000000581	C1d	7.09275
ENSMUSG00000000594	Gm2a	1.93596
ENSMUSG00000000600	Krit1	8.58926
ENSMUSG00000000605	Clcn4-2	0.400964
ENSMUSG00000000606	Vmn2r88	0
ENSMUSG00000000617	Grm6	0
ENSMUSG00000000627	Sema4f	0.385131
ENSMUSG00000000628	Hk2	63.5759
ENSMUSG00000000631	Myo18a	8.15113
ENSMUSG00000000632	Sez6	0
ENSMUSG00000000673	Haao	0
ENSMUSG00000000682	Cd52	0
ENSMUSG00000000686	Abhd15	0
ENSMUSG00000000690	Hoxb6	0
ENSMUSG00000000693	Loxl3	0.00913385
ENSMUSG00000000701	Tcl1b5	0
ENSMUSG00000000702	AC007307.1	0
ENSMUSG00000000706	Btn1a1	0
ENSMUSG00000000708	Kat2b	21.751
ENSMUSG00000000711	Rab5b	5.92799
ENSMUSG00000000724	Cryba1	0
ENSMUSG00000000730	Dnmt3l	72.6699
ENSMUSG00000000731	Aire	0.97405
ENSMUSG00000000732	Icosl	0.00449672
ENSMUSG00000000738	Spg7	6.05795
ENSMUSG00000000739	Sult5a1	0
ENSMUSG00000000740	Rpl13	175.026
ENSMUSG00000000743	Chmp1a	7.75351
ENSMUSG00000000751	Rpa1	54.4207
ENSMUSG00000000753	Serpinf1	1.72625
ENSMUSG00000000759	Tubgcp3	24.3553
ENSMUSG00000000766	Oprm1	0
ENSMUSG00000000776	Polr3d	3.12526
ENSMUSG00000000782	Tcf7	2.76285
ENSMUSG00000000787	Ddx3x	112.966
ENSMUSG00000000791	Il12rb1	0
ENSMUSG00000000792	Slc5a5	0
ENSMUSG00000000794	Kcnn3	0
ENSMUSG00000000804	Usp32	5.78443
ENSMUSG00000000805	Car4	0
