id	gene.symbol	fpkm
ENSMUSG00000000001	Gnai3	54.8028
ENSMUSG00000000003	Pbsn	0
ENSMUSG00000000028	Cdc45	28.0344
ENSMUSG00000000031	H19	0
ENSMUSG00000000037	Scml2	0.860494
ENSMUSG00000000049	Apoh	0
ENSMUSG00000000056	Narf	0.43969
ENSMUSG00000000058	Cav2	0
ENSMUSG00000000078	Klf6	2.75298
ENSMUSG00000000085	Scmh1	9.88763
ENSMUSG00000000088	Cox5a	115.966
ENSMUSG00000000093	Tbx2	0.048759
ENSMUSG00000000094	Tbx4	0
ENSMUSG00000000103	Zfy2	0
ENSMUSG00000000120	Ngfr	1.25426
ENSMUSG00000000125	Wnt3	0
ENSMUSG00000000126	Wnt9a	1.03719
ENSMUSG00000000127	Fer	7.46569
ENSMUSG00000000131	Xpo6	93.4353
ENSMUSG00000000134	Tcfe3	7.96607
ENSMUSG00000000142	Axin2	1.04984
ENSMUSG00000000148	Baat1	2.28743
ENSMUSG00000000149	Gna12	12.9786
ENSMUSG00000000154	Slc22a18	0
ENSMUSG00000000157	Itgb2l	0
ENSMUSG00000000159	Igsf5	0
ENSMUSG00000000167	Pih1d2	0
ENSMUSG00000000168	Dlat	14.8221
ENSMUSG00000000171	Sdhd	53.0332
ENSMUSG00000000182	Fgf23	0
ENSMUSG00000000183	Fgf6	0
ENSMUSG00000000184	Ccnd2	0
ENSMUSG00000000194	Gpr107	10.4439
ENSMUSG00000000197	Nalcn	0.864159
ENSMUSG00000000202	Btbd17	0.855911
ENSMUSG00000000204	Slfn4	0
ENSMUSG00000000214	Th	0
ENSMUSG00000000215	Ins2	0
ENSMUSG00000000216	Scnn1g	0
ENSMUSG00000000223	Drp2	0.00512551
ENSMUSG00000000244	Tspan32	1.92501
ENSMUSG00000000247	Lhx2	0
ENSMUSG00000000248	Clec2g	0
ENSMUSG00000000253	Gmpr	4.58092
ENSMUSG00000000263	Glra1	0
ENSMUSG00000000266	Mid2	2.68748
ENSMUSG00000000275	Trim25	27.6695
ENSMUSG00000000276	Dgke	7.25219
ENSMUSG00000000278	Scpep1	22.8029
ENSMUSG00000000282	Mnt	4.80871
ENSMUSG00000000290	Itgb2	3.1807
ENSMUSG00000000295	Hddc2	16.7494
ENSMUSG00000000296	Tpd52l1	10.9905
ENSMUSG00000000301	Pemt	4.00443
ENSMUSG00000000303	Cdh1	18.2715
ENSMUSG00000000305	Cdh4	0.0490432
ENSMUSG00000000308	Ckmt1	2.24255
ENSMUSG00000000317	Bcl6b	0.0210696
ENSMUSG00000000318	Clec10a	0
ENSMUSG00000000320	Alox12	0.083112
ENSMUSG00000000325	Arvcf	10.8136
ENSMUSG00000000326	Comt	9.77112
ENSMUSG00000000339	Rtcd1	12.9427
ENSMUSG00000000340	Dbt	4.3501
ENSMUSG00000000346	Dazap2	19.07
ENSMUSG00000000355	Mcts1	1.88239
ENSMUSG00000000359	Rem1	0
ENSMUSG00000000365	Rnf17	1.46357
ENSMUSG00000000374	Trappc10	1.13707
ENSMUSG00000000378	Ccm2	16.8418
ENSMUSG00000000381	Wap	0
ENSMUSG00000000384	Tbrg4	26.7132
ENSMUSG00000000385	Tmprss2	0
ENSMUSG00000000386	Mx1	0
ENSMUSG00000000392	Fap	0
ENSMUSG00000000394	Gcg	0
ENSMUSG00000000399	Ndufa9	32.567
ENSMUSG00000000402	Egfl6	0.158904
ENSMUSG00000000409	Lck	16.095
ENSMUSG00000000411	Tssk3	0
ENSMUSG00000000416	Cttnbp2	0
ENSMUSG00000000420	Galnt1	4.66381
ENSMUSG00000000435	Myf5	0
ENSMUSG00000000439	Mkrn2	11.1585
ENSMUSG00000000440	Pparg	0
ENSMUSG00000000441	Raf1	36.856
ENSMUSG00000000486	Sept1	66.3916
ENSMUSG00000000489	Pdgfb	2.61644
ENSMUSG00000000530	Acvrl1	0
ENSMUSG00000000531	Grasp	2.58772
ENSMUSG00000000532	Acvr1b	1.80903
ENSMUSG00000000538	Tom1l2	5.58752
ENSMUSG00000000544	Gpa33	12.3967
ENSMUSG00000000552	Zfp385a	5.86654
ENSMUSG00000000555	Itga5	7.69545
ENSMUSG00000000560	Gabra2	0
ENSMUSG00000000561	Wdr77	100.589
ENSMUSG00000000562	Adora3	0
ENSMUSG00000000563	Atp5f1	105.574
ENSMUSG00000000567	Sox9	0
ENSMUSG00000000568	Hnrnpd	188.285
ENSMUSG00000000579	Dynlt1c	5.92719
ENSMUSG00000000581	C1d	14.8207
ENSMUSG00000000594	Gm2a	5.55123
ENSMUSG00000000600	Krit1	2.09965
ENSMUSG00000000605	Clcn4-2	0.728234
ENSMUSG00000000606	Vmn2r88	0
ENSMUSG00000000617	Grm6	0
ENSMUSG00000000627	Sema4f	0
ENSMUSG00000000628	Hk2	38.1039
ENSMUSG00000000631	Myo18a	0.404338
ENSMUSG00000000632	Sez6	1.22761
ENSMUSG00000000673	Haao	0
ENSMUSG00000000682	Cd52	0
ENSMUSG00000000686	Abhd15	0
ENSMUSG00000000690	Hoxb6	0
ENSMUSG00000000693	Loxl3	0
ENSMUSG00000000701	Tcl1b5	0
ENSMUSG00000000702	AC007307.1	0
ENSMUSG00000000706	Btn1a1	0
ENSMUSG00000000708	Kat2b	9.86044
ENSMUSG00000000711	Rab5b	1.60565
ENSMUSG00000000724	Cryba1	3.4107
ENSMUSG00000000730	Dnmt3l	80.2664
ENSMUSG00000000731	Aire	0.299996
ENSMUSG00000000732	Icosl	2.03786
ENSMUSG00000000738	Spg7	6.85369
ENSMUSG00000000739	Sult5a1	5.43242
ENSMUSG00000000740	Rpl13	61.4067
ENSMUSG00000000743	Chmp1a	8.95159
ENSMUSG00000000751	Rpa1	25.9946
ENSMUSG00000000753	Serpinf1	0
ENSMUSG00000000759	Tubgcp3	7.77856
ENSMUSG00000000766	Oprm1	0
ENSMUSG00000000776	Polr3d	11.2401
ENSMUSG00000000782	Tcf7	9.97331
ENSMUSG00000000787	Ddx3x	75.7372
ENSMUSG00000000791	Il12rb1	0
ENSMUSG00000000792	Slc5a5	0
ENSMUSG00000000794	Kcnn3	0
ENSMUSG00000000804	Usp32	3.0215
ENSMUSG00000000805	Car4	0
ENSMUSG00000000811	Txnrd3	4.7363
ENSMUSG00000000817	Fasl	0
ENSMUSG00000000823	Znf512b	2.74972
ENSMUSG00000000826	Dnajc5	2.18895
ENSMUSG00000000827	Tpd52l2	54.6175
ENSMUSG00000000838	Fmr1	18.5535
ENSMUSG00000000861	Bcl11a	0
ENSMUSG00000000869	Il4	0
ENSMUSG00000000876	Pxmp4	2.39716
ENSMUSG00000000881	Dlg3	1.8297
ENSMUSG00000000884	Gnb1l	3.54343
ENSMUSG00000000889	Dbh	0
ENSMUSG00000000901	Mmp11	23.9704
ENSMUSG00000000902	Smarcb1	10.4983
ENSMUSG00000000903	Vpreb3	0
ENSMUSG00000000915	Hip1r	0.640561
