id	gene.symbol	fpkm
ENSMUSG00000000001	Gnai3	80.0271
ENSMUSG00000000003	Pbsn	0
ENSMUSG00000000028	Cdc45	30.5643
ENSMUSG00000000031	H19	0
ENSMUSG00000000037	Scml2	0
ENSMUSG00000000049	Apoh	0
ENSMUSG00000000056	Narf	0.032178
ENSMUSG00000000058	Cav2	0
ENSMUSG00000000078	Klf6	13.216
ENSMUSG00000000085	Scmh1	0.0863026
ENSMUSG00000000088	Cox5a	267.019
ENSMUSG00000000093	Tbx2	0
ENSMUSG00000000094	Tbx4	0
ENSMUSG00000000103	Zfy2	0
ENSMUSG00000000120	Ngfr	5.48585
ENSMUSG00000000125	Wnt3	0
ENSMUSG00000000126	Wnt9a	0
ENSMUSG00000000127	Fer	1.09017
ENSMUSG00000000131	Xpo6	73.9182
ENSMUSG00000000134	Tcfe3	1.2557
ENSMUSG00000000142	Axin2	0
ENSMUSG00000000148	Baat1	0.459567
ENSMUSG00000000149	Gna12	37.0643
ENSMUSG00000000154	Slc22a18	0
ENSMUSG00000000157	Itgb2l	0
ENSMUSG00000000159	Igsf5	0
ENSMUSG00000000167	Pih1d2	0
ENSMUSG00000000168	Dlat	1.74124
ENSMUSG00000000171	Sdhd	37.2362
ENSMUSG00000000182	Fgf23	0
ENSMUSG00000000183	Fgf6	0
ENSMUSG00000000184	Ccnd2	0
ENSMUSG00000000194	Gpr107	0.0410528
ENSMUSG00000000197	Nalcn	0
ENSMUSG00000000202	Btbd17	0
ENSMUSG00000000204	Slfn4	0
ENSMUSG00000000214	Th	0
ENSMUSG00000000215	Ins2	0
ENSMUSG00000000216	Scnn1g	0
ENSMUSG00000000223	Drp2	0
ENSMUSG00000000244	Tspan32	0
ENSMUSG00000000247	Lhx2	0
ENSMUSG00000000248	Clec2g	0
ENSMUSG00000000253	Gmpr	19.5813
ENSMUSG00000000263	Glra1	0
ENSMUSG00000000266	Mid2	0
ENSMUSG00000000275	Trim25	11.3007
ENSMUSG00000000276	Dgke	0.00799506
ENSMUSG00000000278	Scpep1	106.952
ENSMUSG00000000282	Mnt	28.2061
ENSMUSG00000000290	Itgb2	0
ENSMUSG00000000295	Hddc2	39.0464
ENSMUSG00000000296	Tpd52l1	20.0867
ENSMUSG00000000301	Pemt	24.5922
ENSMUSG00000000303	Cdh1	3.58736
ENSMUSG00000000305	Cdh4	0.00438777
ENSMUSG00000000308	Ckmt1	0
ENSMUSG00000000317	Bcl6b	0
ENSMUSG00000000318	Clec10a	0
ENSMUSG00000000320	Alox12	11.1404
ENSMUSG00000000325	Arvcf	11.9418
ENSMUSG00000000326	Comt	8.12358
ENSMUSG00000000339	Rtcd1	2.37524
ENSMUSG00000000340	Dbt	3.67423
